date,time,game,stadium,note
04.01(수),18:30,KIA2vs7LG,잠실,-
04.01(수),18:30,키움11vs2SSG,문학,-
04.01(수),18:30,두산3vs13삼성,대구,-
04.01(수),18:30,롯데4vs5NC,창원,-
04.01(수),18:30,KT14vs11한화,대전,-
04.02(목),18:30,KIA1vs2LG,잠실,-
04.02(목),18:30,키움1vs11SSG,문학,-
04.02(목),18:30,두산2vs5삼성,대구,-
04.02(목),18:30,롯데4vs8NC,창원,-
04.02(목),18:30,KT13vs8한화,대전,-
04.03(금),18:30,한화11vs6두산,잠실,-
04.03(금),18:30,SSG17vs2롯데,사직,-
04.03(금),18:30,삼성2vs1KT,수원,-
04.03(금),18:30,NC5vs2KIA,광주,-
04.03(금),18:30,LG2vs5키움,고척,-
04.04(토),14:00,한화9vs3두산,잠실,-
04.04(토),17:00,SSG7vs6롯데,사직,-
04.04(토),17:00,삼성8vs6KT,수원,-
04.04(토),17:00,NC6vs0KIA,광주,-
04.04(토),17:00,LG6vs4키움,고척,-
04.05(일),14:00,한화0vs8두산,잠실,-
04.05(일),14:00,SSG4vs3롯데,사직,-
04.05(일),14:00,삼성0vs2KT,수원,-
04.05(일),14:00,NC0vs3KIA,광주,-
04.05(일),14:00,LG6vs5키움,고척,-
04.07(화),18:30,키움5vs2두산,잠실,-
04.07(화),18:30,한화6vs2SSG,문학,-
04.07(화),18:30,KT7vs3롯데,사직,-
04.07(화),18:30,LG2vs0NC,창원,-
04.07(화),18:30,삼성10vs3KIA,광주,-
04.08(수),18:30,키움3vs7두산,잠실,-
04.08(수),18:30,한화4vs3SSG,문학,-
04.08(수),18:30,KT1vs6롯데,사직,-
04.08(수),18:30,LG5vs4NC,창원,-
04.08(수),18:30,삼성5vs15KIA,광주,-
04.09(목),18:30,키움vs두산,잠실,우천취소
04.09(목),18:30,한화vsSSG,문학,우천취소
04.09(목),18:30,KTvs롯데,사직,우천취소
04.09(목),18:30,LGvsNC,창원,우천취소
04.09(목),18:30,삼성vsKIA,광주,우천취소
04.10(금),18:30,SSG2vs10LG,잠실,-
04.10(금),18:30,NC5vs8삼성,대구,-
04.10(금),18:30,두산8vs7KT,수원,-
04.10(금),18:30,롯데3vs1키움,고척,-
04.10(금),18:30,KIA6vs5한화,대전,-
04.11(토),14:00,KIA6vs5한화,대전,-
04.11(토),17:00,SSG3vs4LG,잠실,-
04.11(토),17:00,NC4vs5삼성,대구,-
04.11(토),17:00,두산4vs6KT,수원,-
04.11(토),17:00,롯데3vs1키움,고척,-
04.12(일),14:00,SSG1vs9LG,잠실,-
04.12(일),14:00,NC3vs9삼성,대구,-
04.12(일),14:00,두산1vs6KT,수원,-
04.12(일),14:00,롯데0vs2키움,고척,-
04.12(일),14:00,KIA9vs3한화,대전,-
04.14(화),18:30,롯데1vs2LG,잠실,-
04.14(화),18:30,두산11vs3SSG,문학,-
04.14(화),18:30,KT4vs7NC,창원,-
04.14(화),18:30,키움2vs6KIA,광주,-
04.14(화),18:30,삼성6vs5한화,대전,-
04.15(수),18:30,롯데2vs0LG,잠실,-
04.15(수),18:30,두산0vs6SSG,문학,-
04.15(수),18:30,KT10vs2NC,창원,-
04.15(수),18:30,키움5vs7KIA,광주,-
04.15(수),18:30,삼성13vs5한화,대전,-
04.16(목),18:30,롯데4vs7LG,잠실,-
04.16(목),18:30,두산1vs2SSG,문학,-
04.16(목),18:30,KT4vs3NC,창원,-
04.16(목),18:30,키움1vs5KIA,광주,-
04.16(목),18:30,삼성6vs1한화,대전,-
04.17(금),18:30,KIA7vs3두산,잠실,-
04.17(금),18:30,한화vs롯데,사직,우천취소
04.17(금),18:30,LGvs삼성,대구,우천취소
04.17(금),18:30,SSGvsNC,창원,우천취소
04.17(금),18:30,키움0vs5KT,수원,-
04.18(토),14:00,LG2vs7삼성,대구,-
04.18(토),17:00,KIA4vs5두산,잠실,-
04.18(토),17:00,한화5vs0롯데,사직,-
04.18(토),17:00,SSG11vs3NC,창원,-
04.18(토),17:00,키움2vs4KT,수원,-
04.19(일),14:00,KIA3vs6두산,잠실,-
04.19(일),14:00,한화9vs1롯데,사직,-
04.19(일),14:00,LG5vs0삼성,대구,-
04.19(일),14:00,SSG2vs9NC,창원,-
04.19(일),17:00,키움3vs1KT,수원,-
04.21(화),18:30,한화5vs6LG,잠실,-
04.21(화),18:30,두산6vs2롯데,사직,-
04.21(화),18:30,SSG5vs4삼성,대구,-
04.21(화),18:30,KIA5vs6KT,수원,-
04.21(화),18:30,NC1vs2키움,고척,-
04.22(수),18:30,한화0vs3LG,잠실,-
04.22(수),18:30,두산9vs1롯데,사직,-
04.22(수),18:30,SSG3vs2삼성,대구,-
04.22(수),18:30,KIA3vs8KT,수원,-
04.22(수),18:30,NC0vs3키움,고척,-
04.23(목),18:30,한화8vs4LG,잠실,-
04.23(목),18:30,두산1vs6롯데,사직,-
04.23(목),18:30,SSG8vs2삼성,대구,-
04.23(목),18:30,KIA3vs8KT,수원,-
04.23(목),18:30,NC12vs2키움,고척,-
04.24(금),18:30,LG4vs1두산,잠실,-
04.24(금),18:30,KT0vs5SSG,문학,-
04.24(금),18:30,롯데0vs4KIA,광주,-
04.24(금),18:30,삼성4vs6키움,고척,-
04.24(금),18:30,NC7vs3한화,대전,-
04.25(토),14:00,LG7vs5두산,잠실,-
04.25(토),17:00,KT1vs3SSG,문학,-
04.25(토),17:00,롯데3vs4KIA,광주,-
04.25(토),17:00,삼성2vs4키움,고척,-
04.25(토),17:00,NC1vs8한화,대전,-
04.26(일),14:00,LG3vs4두산,잠실,-
04.26(일),14:00,KT12vs2SSG,문학,-
04.26(일),14:00,롯데5vs5KIA,광주,-
04.26(일),14:00,삼성0vs2키움,고척,-
04.26(일),14:00,NC5vs3한화,대전,-
04.28(화),18:30,삼성5vs4두산,잠실,-
04.28(화),18:30,키움4vs5롯데,사직,-
04.28(화),18:30,KIA4vs5NC,창원,-
04.28(화),18:30,LG5vs6KT,수원,-
04.28(화),18:30,SSG6vs7한화,대전,-
04.29(수),18:30,삼성0vs4두산,잠실,-
04.29(수),18:30,키움6vs5롯데,사직,-
04.29(수),18:30,KIA9vs4NC,창원,-
04.29(수),18:30,LG4vs5KT,수원,-
04.29(수),18:30,SSG6vs1한화,대전,-
04.30(목),18:30,삼성5vs8두산,잠실,-
04.30(목),18:30,키움1vs3롯데,사직,-
04.30(목),18:30,KIA2vs7NC,창원,-
04.30(목),18:30,LG6vs5KT,수원,-
04.30(목),18:30,SSG14vs3한화,대전,-
